bowler,runs_conceded,overs_bowled,economy
AC Gilchrist,0,0.16666666666666666,0.0
R Ravindra,7,2.0,3.5
Sachin Baby,8,1.6666666666666667,4.8
AM Rahane,5,1.0,5.0
NB Singh,18,3.5,5.142857142857143
DJ Thornely,40,7.0,5.714285714285714
LA Carseldine,6,1.0,6.0
M Manhas,42,7.0,6.0
SS Mundhe,6,1.0,6.0
MW Short,25,4.0,6.25
A Chandila,245,38.666666666666664,6.336206896551724
N Wadhera,13,2.0,6.5
KA Maharaj,39,6.0,6.5
SMSM Senanayake,211,31.666666666666668,6.663157894736842
PH Solanki,39,5.833333333333333,6.685714285714286
SM Pollock,307,45.666666666666664,6.7226277372262775
S Rana,18,2.6666666666666665,6.75
MJ Clarke,72,10.666666666666666,6.75
PD Collingwood,101,14.833333333333334,6.808988764044943
JW Hastings,66,9.666666666666666,6.8275862068965525
IS Sodhi,204,29.833333333333332,6.837988826815643
J Yadav,447,64.66666666666667,6.912371134020618
Sohail Tanvir,275,39.666666666666664,6.932773109243698
A Kumble,1089,157.0,6.936305732484076
GD McGrath,366,52.5,6.9714285714285715
SP Narine,4672,669.8333333333334,6.974869370490171
SS Iyer,7,1.0,7.0
Y Gnaneswara Rao,7,1.0,7.0
DL Vettori,894,127.33333333333333,7.020942408376964
GH Vihari,48,6.833333333333333,7.024390243902439
T Henderson,41,5.833333333333333,7.028571428571429
NJ Rimmington,20,2.8333333333333335,7.0588235294117645
MJ Santner,428,60.5,7.074380165289257
Rashid Khan,3340,470.0,7.1063829787234045
FH Edwards,160,22.5,7.111111111111111
M Muralitharan,1765,247.5,7.1313131313131315
RE van der Merwe,515,72.0,7.152777777777778
R Sharma,1100,153.0,7.189542483660131
MM Ali,900,125.16666666666667,7.1904127829560585
BMAJ Mendis,36,5.0,7.2
J Botha,818,113.33333333333333,7.2176470588235295
RN ten Doeschate,94,13.0,7.230769230769231
NL McCullum,35,4.833333333333333,7.241379310344828
T Stubbs,29,4.0,7.25
AD Mascarenhas,365,50.333333333333336,7.251655629139073
DW Steyn,2583,356.1666666666667,7.2522227421619085
R Ashwin,5435,745.0,7.295302013422819
SE Bond,225,30.833333333333332,7.297297297297297
GR Napier,28,3.8333333333333335,7.304347826086956
Harbhajan Singh,4101,561.1666666666666,7.307989307989309
KMDN Kulasekara,122,16.666666666666668,7.319999999999999
RV Patel,22,3.0,7.333333333333333
R Rampaul,319,43.5,7.333333333333333
C Nanda,58,7.833333333333333,7.404255319148937
Ankit Sharma,453,60.833333333333336,7.446575342465753
T Thushara,164,22.0,7.454545454545454
Iqbal Abdulla,1125,150.83333333333334,7.458563535911602
AG Murtaza,322,43.166666666666664,7.45945945945946
Gurkeerat Singh,97,13.0,7.461538461538462
SK Warne,1465,196.33333333333334,7.461799660441426
Mohammad Hafeez,71,9.5,7.473684210526316
C Munro,15,2.0,7.5
AR Patel,3824,509.8333333333333,7.500490356325597
SM Harwood,74,9.833333333333334,7.525423728813559
A Mishra,4193,556.0,7.5413669064748206
MP Yadav,88,11.666666666666666,7.542857142857144
M Kartik,1418,187.66666666666666,7.55595026642984
KH Pandya,2644,348.8333333333333,7.57955088389871
JP Duminy,847,111.66666666666667,7.585074626865671
SL Malinga,3486,459.0,7.594771241830065
BAW Mendis,306,40.166666666666664,7.618257261410789
Yuvraj Singh,1091,143.0,7.629370629370629
Shakib Al Hasan,1864,244.16666666666666,7.634129692832765
Tilak Varma,28,3.6666666666666665,7.636363636363637
KP Pietersen,218,28.5,7.649122807017544
DE Bollinger,716,93.33333333333333,7.671428571428572
M Ntini,257,33.5,7.6716417910447765
JJ Bumrah,3840,500.5,7.672327672327673
Washington Sundar,1335,174.0,7.672413793103448
SK Raina,1139,148.16666666666666,7.687289088863892
S Randiv,223,29.0,7.689655172413793
R Bhatia,2059,267.5,7.697196261682243
Mohammad Nabi,527,68.33333333333333,7.71219512195122
Shoaib Akhtar,54,7.0,7.714285714285714
S Nadeem,1800,233.16666666666666,7.719799857040743
RR Powar,538,69.66666666666667,7.722488038277511
YK Pathan,1443,186.83333333333334,7.723461195361284
PP Ojha,2399,309.6666666666667,7.747039827771797
STR Binny,763,98.16666666666667,7.772495755517826
SB Styris,278,35.666666666666664,7.794392523364486
RA Jadeja,4917,630.6666666666666,7.796511627906977
MM Patel,1733,222.16666666666666,7.800450112528132
S Badree,329,42.166666666666664,7.8023715415019765
MF Maharoof,532,68.0,7.823529411764706
DP Nannes,815,104.16666666666667,7.824
CV Varun,2042,260.8333333333333,7.828753993610224
GB Hogg,585,74.5,7.852348993288591
AL Menaria,144,18.333333333333332,7.854545454545455
JC Archer,1210,153.83333333333334,7.865655471289274
DJ Willey,277,35.166666666666664,7.876777251184834
RD Chahar,2165,274.6666666666667,7.882281553398058
WPUJC Vaas,364,46.0,7.913043478260869
SK Trivedi,1944,245.0,7.9346938775510205
B Kumar,5051,635.5,7.948072383949646
B Lee,1126,141.5,7.957597173144876
CK Langeveldt,199,25.0,7.96
M Theekshana,814,102.16666666666667,7.9673735725938
Imran Tahir,1729,217.0,7.967741935483871
TL Suman,198,24.833333333333332,7.973154362416108
SA Yadav,8,1.0,8.0
DAJ Bracewell,32,4.0,8.0
D du Preez,56,7.0,8.0
DJ Muthuswami,108,13.5,8.0
GD Phillips,40,5.0,8.0
RS Gavaskar,8,1.0,8.0
M Siddharth,72,9.0,8.0
VS Malik,268,33.5,8.0
Z Khan,2860,357.3333333333333,8.003731343283583
Azhar Mahmood,707,88.33333333333333,8.00377358490566
Ravi Bishnoi,1861,232.5,8.004301075268817
PV Tambe,866,108.16666666666667,8.006163328197227
R Tewatia,1117,139.5,8.007168458781361
M Morkel,2136,266.5,8.01500938086304
B Akhil,246,30.666666666666668,8.021739130434783
MN Samuels,285,35.5,8.028169014084508
NM Coulter-Nile,1125,139.66666666666666,8.054892601431982
Ankit Soni,145,18.0,8.055555555555555
RJ Harris,1085,134.33333333333334,8.076923076923077
BJ Hodge,310,38.333333333333336,8.08695652173913
Sandeep Sharma,3758,464.5,8.090419806243272
YS Chahal,4681,578.1666666666666,8.096281349091958
