match_id,team1,team2,total_runs_per_match
1426268,Sunrisers Hyderabad,Royal Challengers Bangalore,549
1422126,Sunrisers Hyderabad,Mumbai Indians,523
1426280,Kolkata Knight Riders,Punjab Kings,523
1426281,Delhi Capitals,Mumbai Indians,504
419137,Chennai Super Kings,Rajasthan Royals,469
1426273,Sunrisers Hyderabad,Delhi Capitals,465
1136604,Kolkata Knight Riders,Punjab Kings,459
1359512,Lucknow Super Giants,Punjab Kings,458
1082641,Mumbai Indians,Punjab Kings,453
1216527,Punjab Kings,Rajasthan Royals,449
335983,Punjab Kings,Chennai Super Kings,447
1426269,Kolkata Knight Riders,Rajasthan Royals,447
1426278,Delhi Capitals,Gujarat Titans,444
1359498,Chennai Super Kings,Royal Challengers Bangalore,444
1426274,Kolkata Knight Riders,Royal Challengers Bangalore,443
1422138,Mumbai Indians,Delhi Capitals,439
1422134,Kolkata Knight Riders,Delhi Capitals,438
1254061,Punjab Kings,Rajasthan Royals,438
1216515,Delhi Capitals,Kolkata Knight Riders,438
1254084,Chennai Super Kings,Mumbai Indians,437
501223,Delhi Capitals,Punjab Kings,433
1359493,Sunrisers Hyderabad,Kolkata Knight Riders,433
1359526,Rajasthan Royals,Sunrisers Hyderabad,431
829795,Mumbai Indians,Royal Challengers Bangalore,431
335990,Deccan Chargers,Rajasthan Royals,431
1359520,Punjab Kings,Mumbai Indians,430
1178422,Kolkata Knight Riders,Mumbai Indians,430
1426307,Punjab Kings,Sunrisers Hyderabad,429
1304080,Rajasthan Royals,Delhi Capitals,429
734047,Chennai Super Kings,Punjab Kings,428
1254088,Mumbai Indians,Sunrisers Hyderabad,428
1304076,Rajasthan Royals,Kolkata Knight Riders,427
1426297,Gujarat Titans,Chennai Super Kings,427
1359516,Rajasthan Royals,Mumbai Indians,426
1359489,Royal Challengers Bangalore,Lucknow Super Giants,425
1426277,Chennai Super Kings,Lucknow Super Giants,423
1254072,Chennai Super Kings,Kolkata Knight Riders,422
1359480,Chennai Super Kings,Lucknow Super Giants,422
1426296,Royal Challengers Bangalore,Punjab Kings,422
1082632,Delhi Capitals,Gujarat Lions,422
1426294,Delhi Capitals,Rajasthan Royals,422
1136611,Royal Challengers Bangalore,Sunrisers Hyderabad,422
1359507,Chennai Super Kings,Kolkata Knight Riders,421
1304053,Chennai Super Kings,Lucknow Super Giants,421
1216547,Royal Challengers Bangalore,Mumbai Indians,420
419107,Mumbai Indians,Rajasthan Royals,420
733987,Punjab Kings,Chennai Super Kings,418
1304112,Lucknow Super Giants,Kolkata Knight Riders,418
734007,Sunrisers Hyderabad,Punjab Kings,416
1178410,Royal Challengers Bangalore,Kolkata Knight Riders,416
1216496,Rajasthan Royals,Chennai Super Kings,416
1136571,Rajasthan Royals,Royal Challengers Bangalore,415
1359505,Punjab Kings,Mumbai Indians,415
1304049,Royal Challengers Bangalore,Punjab Kings,413
548318,Chennai Super Kings,Royal Challengers Bangalore,413
1422121,Kolkata Knight Riders,Sunrisers Hyderabad,412
336033,Chennai Super Kings,Rajasthan Royals,412
1136584,Royal Challengers Bangalore,Chennai Super Kings,412
1359538,Delhi Capitals,Punjab Kings,411
1175372,Royal Challengers Bangalore,Kolkata Knight Riders,411
729283,Chennai Super Kings,Punjab Kings,411
1359487,Gujarat Titans,Kolkata Knight Riders,411
