batter,total_runs,balls_faced,strike_rate
L Wood,9,3,300.0
B Stanlake,5,2,250.0
J Fraser-McGurk,330,141,234.04255319148936
R Sai Kishore,13,6,216.66666666666666
Umar Gul,39,19,205.26315789473685
RS Sodhi,4,2,200.0
R Shepherd,115,63,182.53968253968253
Naman Dhir,140,79,177.2151898734177
LJ Wright,106,60,176.66666666666666
Shahid Afridi,81,46,176.08695652173913
WG Jacks,230,131,175.57251908396947
PD Salt,653,372,175.53763440860214
I Malhotra,7,4,175.0
AD Russell,2488,1423,174.84188334504566
TM Head,772,444,173.87387387387386
T Stubbs,405,233,173.8197424892704
SB Dubey,33,19,173.6842105263158
ER Dwivedi,24,14,171.42857142857142
KK Cooper,116,68,170.58823529411765
TH David,659,387,170.28423772609818
AUK Pathan,39,23,169.56521739130434
BCJ Cutting,238,141,168.79432624113474
H Klaasen,993,590,168.3050847457627
Ashutosh Sharma,189,113,167.2566371681416
K Gowtham,247,148,166.89189189189187
Shivam Sharma,5,3,166.66666666666669
KMDN Kulasekara,5,3,166.66666666666669
Ramandeep Singh,170,102,166.66666666666669
SP Narine,1534,925,165.83783783783784
Kamran Akmal,128,78,164.1025641025641
Avesh Khan,41,25,164.0
BJ Haddin,18,11,163.63636363636365
CR Brathwaite,181,111,163.06306306306305
KJ Abbott,13,8,162.5
LS Livingstone,939,578,162.4567474048443
N Pooran,1769,1092,161.996336996337
Rashid Khan,545,337,161.72106824925817
Shashank Singh,423,262,161.45038167938932
R Ravindra,222,138,160.8695652173913
OC McCoy,8,5,160.0
AJ Hosein,16,10,160.0
RM Patidar,799,503,158.84691848906562
Akash Deep,19,12,158.33333333333331
D Pretorius,44,28,157.14285714285714
GJ Maxwell,2772,1769,156.69869983041266
JC Archer,199,128,155.46875
V Sehwag,2728,1755,155.44159544159544
CH Morris,618,398,155.27638190954772
Abhishek Sharma,1377,887,155.24239007891768
A Raghuvanshi,163,105,155.23809523809524
AP Dole,34,22,154.54545454545453
LPC Silva,40,26,153.84615384615387
C Green,707,460,153.69565217391303
RR Rossouw,473,308,153.57142857142858
PVD Chameera,43,28,153.57142857142858
SO Hetmyer,1243,812,153.07881773399015
Abishek Porel,360,236,152.54237288135593
Bipul Sharma,187,123,152.03252032520325
AB de Villiers,5181,3411,151.8909410729991
Dhruv Jurel,347,229,151.528384279476
JM Sharma,730,483,151.13871635610764
YBK Jaiswal,1607,1067,150.6091846298032
TU Deshpande,21,14,150.0
SD Hope,183,122,150.0
MA Wood,12,8,150.0
Harmeet Singh,18,12,150.0
PJ Cummins,515,344,149.7093023255814
CH Gayle,4997,3346,149.34249850567844
RR Pant,3297,2215,148.8487584650113
LH Ferguson,68,46,147.82608695652172
Arshad Khan,96,65,147.6923076923077
KA Pollard,3437,2329,147.57406612279948
R Powell,360,244,147.54098360655738
PP Shaw,1892,1283,147.4668745128605
JC Buttler,3583,2430,147.4485596707819
Atharva Taide,247,168,147.02380952380955
Vivrant Sharma,69,47,146.80851063829786
S Dube,1502,1024,146.6796875
D Wiese,148,101,146.53465346534654
Tilak Varma,1156,790,146.32911392405063
P Simran Singh,756,517,146.22823984526113
P Sahu,19,13,146.15384615384613
Abdul Samad,579,397,145.84382871536522
HH Pandya,2534,1739,145.71592869465212
Mohammad Nabi,221,152,145.39473684210526
SA Yadav,3594,2474,145.2708164915117
A Ashish Reddy,280,193,145.0777202072539
PBB Rajapaksa,277,191,145.0261780104712
JM Bairstow,1589,1100,144.45454545454547
Arjun Tendulkar,13,9,144.44444444444443
Misbah-ul-Haq,117,81,144.44444444444443
ST Jayasuriya,768,532,144.36090225563908
KR Mayers,379,263,144.106463878327
MF Maharoof,177,123,143.90243902439025
Umran Malik,23,16,143.75
YK Pathan,3222,2245,143.51893095768372
RK Singh,893,623,143.338683788122
MJ Lumb,278,194,143.29896907216494
Nithish Kumar Reddy,303,212,142.9245283018868
MP Stoinis,1866,1314,142.00913242009133
JA Morkel,975,687,141.92139737991266
HM Amla,577,407,141.76904176904176
MM Ali,1162,821,141.5347137637028
M Shahrukh Khan,553,391,141.43222506393863
MK Lomror,527,373,141.28686327077747
DP Conway,924,654,141.28440366972478
CA Lynn,1329,945,140.63492063492063
M Morkel,126,90,140.0
N Wadhera,350,250,140.0
V Viyaskanth,7,5,140.0
DA Warner,6567,4702,139.6639727775415
MS Gony,99,71,139.43661971830986
RA Tripathi,2236,1605,139.31464174454828
DA Miller,2924,2101,139.17182294145644
B Sai Sudharsan,1034,743,139.16554508748317
SV Samson,4419,3180,138.96226415094338
SN Thakur,307,221,138.91402714932127
RN ten Doeschate,326,235,138.72340425531914
Sunny Singh,43,31,138.70967741935485
JJ Roy,614,443,138.6004514672686
AN Ahmed,36,26,138.46153846153845
AC Gilchrist,2069,1495,138.39464882943145
B Akhil,76,55,138.1818181818182
SR Watson,3880,2813,137.93103448275863
Harbhajan Singh,833,604,137.91390728476821
MJ Guptill,271,197,137.56345177664974
MS Dhoni,5243,3812,137.53934942287515
AU Rashid,22,16,137.5
Yudhvir Singh,22,16,137.5
D Salunkhe,33,24,137.5
ML Hayden,1107,806,137.34491315136478
NLTC Perera,424,309,137.2168284789644
VR Iyer,1326,967,137.12512926577043
E Lewis,654,477,137.1069182389937
S Narwal,37,27,137.03703703703704
BJ Rohrer,193,141,136.8794326241135
RD Gaikwad,2380,1739,136.860264519839
SK Raina,5536,4046,136.82649530400394
SM Curran,883,647,136.47604327666153
F du Plessis,4571,3352,136.36634844868735
I Udana,15,11,136.36363636363635
JR Hopes,417,306,136.27450980392157
Ishan Kishan,2644,1946,135.86844809866392
Shubman Gill,3216,2370,135.69620253164555
DL Chahar,80,59,135.59322033898303
KD Karthik,4843,3580,135.27932960893853
DR Smith,2385,1764,135.20408163265304
R Parag,1173,868,135.13824884792626
JP Faulkner,527,390,135.12820512820514
N Rana,2636,1952,135.04098360655738
KP Pietersen,1001,743,134.72409152086138
R Tewatia,1013,752,134.70744680851064
C de Grandhomme,303,225,134.66666666666666
KL Rahul,4689,3485,134.54806312769009
Q de Kock,3160,2355,134.18259023354565
A Badoni,634,473,134.03805496828753
BA Stokes,935,698,133.9541547277937
Sikandar Raza,182,136,133.8235294117647
Rahmanullah Gurbaz,289,216,133.7962962962963
D Brevis,230,172,133.72093023255815
P Chopra,8,6,133.33333333333331
K Upadhyay,12,9,133.33333333333331
VRV Singh,4,3,133.33333333333331
CRD Fernando,4,3,133.33333333333331
DAJ Bracewell,12,9,133.33333333333331
JPR Scantlebury-Searles,8,6,133.33333333333331
AC Blizzard,120,90,133.33333333333331
MA Agarwal,2669,2002,133.3166833166833
SE Marsh,2489,1871,133.0304649919829
S Vidyut,145,109,133.0275229357798
PN Mankad,97,73,132.87671232876713
KH Pandya,1647,1240,132.82258064516128
A Manohar,231,174,132.75862068965517
SM Pollock,147,111,132.43243243243242
V Kohli,8014,6069,132.04811336299224
JD Ryder,604,458,131.87772925764193
