,match_id,batting_team,runs
0,335982,Kolkata Knight Riders,222
1,335982,Royal Challengers Bangalore,82
2,335983,Chennai Super Kings,240
3,335983,Punjab Kings,207
4,335984,Delhi Capitals,132
5,335984,Rajasthan Royals,129
6,335985,Mumbai Indians,165
7,335985,Royal Challengers Bangalore,166
8,335986,Deccan Chargers,110
9,335986,Kolkata Knight Riders,112
10,335987,Punjab Kings,166
11,335987,Rajasthan Royals,168
12,335988,Deccan Chargers,142
13,335988,Delhi Capitals,143
14,335989,Chennai Super Kings,208
15,335989,Mumbai Indians,202
16,335990,Deccan Chargers,214
17,335990,Rajasthan Royals,217
18,335991,Mumbai Indians,116
19,335991,Punjab Kings,182
20,335992,Rajasthan Royals,138
21,335992,Royal Challengers Bangalore,135
22,335993,Chennai Super Kings,152
23,335993,Kolkata Knight Riders,147
24,335994,Deccan Chargers,155
25,335994,Mumbai Indians,154
26,335995,Delhi Capitals,158
27,335995,Punjab Kings,162
28,335996,Chennai Super Kings,178
29,335996,Royal Challengers Bangalore,165
30,335997,Kolkata Knight Riders,137
31,335997,Mumbai Indians,138
32,335998,Delhi Capitals,191
33,335998,Royal Challengers Bangalore,181
34,335999,Deccan Chargers,164
35,335999,Punjab Kings,167
36,336000,Kolkata Knight Riders,151
37,336000,Rajasthan Royals,196
38,336001,Chennai Super Kings,169
39,336001,Delhi Capitals,172
40,336002,Deccan Chargers,165
41,336002,Royal Challengers Bangalore,171
42,336003,Kolkata Knight Riders,169
43,336003,Punjab Kings,178
44,336004,Delhi Capitals,133
45,336004,Mumbai Indians,162
46,336005,Chennai Super Kings,109
47,336005,Rajasthan Royals,110
48,336006,Punjab Kings,127
49,336006,Royal Challengers Bangalore,126
50,336007,Chennai Super Kings,144
51,336007,Deccan Chargers,148
52,336008,Mumbai Indians,104
53,336008,Rajasthan Royals,103
54,336009,Chennai Super Kings,188
55,336009,Delhi Capitals,187
56,336010,Kolkata Knight Riders,129
57,336010,Royal Challengers Bangalore,124
58,336011,Deccan Chargers,140
59,336011,Rajasthan Royals,141
60,336012,Mumbai Indians,126
61,336012,Royal Challengers Bangalore,122
62,336013,Chennai Super Kings,181
