rank,batter,total_runs
1,V Kohli,8014
2,S Dhawan,6769
3,RG Sharma,6630
4,DA Warner,6567
5,SK Raina,5536
6,MS Dhoni,5243
7,AB de Villiers,5181
8,CH Gayle,4997
9,RV Uthappa,4954
10,KD Karthik,4843
11,KL Rahul,4689
12,AM Rahane,4642
13,F du Plessis,4571
14,SV Samson,4419
15,AT Rayudu,4348
16,G Gambhir,4217
17,SR Watson,3880
18,MK Pandey,3859
19,SA Yadav,3594
20,JC Buttler,3583
21,KA Pollard,3437
22,RR Pant,3297
23,YK Pathan,3222
24,Shubman Gill,3216
25,Q de Kock,3160
26,SS Iyer,3131
27,RA Jadeja,2959
28,WP Saha,2934
29,DA Miller,2924
30,BB McCullum,2882
31,PA Patel,2848
32,GJ Maxwell,2772
33,Yuvraj Singh,2754
34,V Sehwag,2728
35,MA Agarwal,2669
36,Ishan Kishan,2644
37,N Rana,2636
38,M Vijay,2619
39,HH Pandya,2534
40,SPD Smith,2495
41,SE Marsh,2489
42,AD Russell,2488
43,JH Kallis,2427
44,DR Smith,2385
45,RD Gaikwad,2380
46,SR Tendulkar,2334
47,RA Tripathi,2236
48,R Dravid,2174
49,KS Williamson,2132
50,AJ Finch,2092
51,AC Gilchrist,2069
52,JP Duminy,2029
53,MEK Hussey,1977
54,PP Shaw,1892
55,MP Stoinis,1866
56,DPMD Jayawardene,1808
57,N Pooran,1769
58,Mandeep Singh,1706
59,MK Tiwary,1695
60,KC Sangakkara,1687
61,AR Patel,1653
62,KH Pandya,1647
63,YBK Jaiswal,1607
64,JM Bairstow,1589
65,DJ Bravo,1560
66,D Padikkal,1559
67,NV Ojha,1554
68,SP Narine,1534
69,S Dube,1502
70,KK Nair,1496
71,SS Tiwary,1494
72,DJ Hooda,1466
73,S Badrinath,1441
74,EJG Morgan,1406
75,BJ Hodge,1400
76,Abhishek Sharma,1377
77,SC Ganguly,1349
78,CA Lynn,1329
79,VR Iyer,1326
80,DJ Hussey,1322
81,SO Hetmyer,1243
82,KM Jadhav,1208
83,R Parag,1173
84,MM Ali,1162
85,Tilak Varma,1156
86,TM Dilshan,1153
87,IK Pathan,1150
88,V Shankar,1115
89,ML Hayden,1107
90,M Vohra,1083
91,LMP Simmons,1079
92,B Sai Sudharsan,1034
93,LRPL Taylor,1017
94,R Tewatia,1013
95,KP Pietersen,1001
96,MC Henriques,1000
97,AK Markram,995
98,H Klaasen,993
99,Y Venugopal Rao,985
100,JA Morkel,975
101,A Symonds,974
102,CL White,971
103,LS Livingstone,939
104,BA Stokes,935
105,DP Conway,924
106,RK Singh,893
107,HH Gibbs,886
108,SM Curran,883
109,STR Binny,880
110,Harbhajan Singh,833
111,R Ashwin,800
112,RM Patidar,799
113,MS Bisla,798
114,Shakib Al Hasan,795
115,TM Head,772
116,ST Jayasuriya,768
117,P Simran Singh,756
118,GC Smith,739
119,JM Sharma,730
120,AD Mathews,724
121,C Green,707
122,TL Suman,676
123,AM Nayar,672
124,MR Marsh,665
125,GJ Bailey,663
126,TH David,659
127,E Lewis,654
128,PD Salt,653
129,A Badoni,634
130,PP Chawla,624
131,CH Morris,618
132,JJ Roy,614
133,JD Ryder,604
134,SN Khan,585
135,Abdul Samad,579
136,HM Amla,577
137,M Shahrukh Khan,553
138,Rashid Khan,545
139,CJ Anderson,538
140,Shahbaz Ahmed,536
141,RS Bopara,531
142,JP Faulkner,527
143,MK Lomror,527
144,PJ Cummins,515
145,M Manhas,514
146,Gurkeerat Singh,511
147,OA Shah,506
148,PC Valthaty,505
149,SW Billings,503
150,RR Rossouw,473
151,DT Christian,460
152,NLTC Perera,424
153,SA Asnodkar,423
154,Shashank Singh,423
155,JR Hopes,417
156,J Botha,409
157,T Stubbs,405
158,LR Shukla,405
159,AL Menaria,401
160,MV Boucher,394
161,CA Pujara,390
162,Azhar Mahmood,388
163,A Mishra,381
164,KR Mayers,379
165,Washington Sundar,378
166,DB Ravi Teja,375
167,S Sohal,368
168,P Negi,365
169,Abishek Porel,360
170,R Powell,360
171,DJ Mitchell,351
172,KV Sharma,351
173,N Wadhera,350
174,Dhruv Jurel,347
175,R Bhatia,342
176,P Kumar,340
177,AP Tare,339
178,J Fraser-McGurk,330
179,JEC Franklin,327
180,RN ten Doeschate,326
181,Anuj Rawat,318
182,R Vinay Kumar,310
183,SN Thakur,307
184,B Kumar,306
185,Lalit Yadav,305
186,DB Das,304
187,C de Grandhomme,303
188,Nithish Kumar Reddy,303
189,LA Pomersbach,302
190,UBT Chand,300
191,DJG Sammy,295
192,SP Goswami,293
193,Rahmanullah Gurbaz,289
194,Y Nagar,285
195,GH Vihari,284
196,VVS Laxman,282
197,B Chipli,280
198,A Ashish Reddy,280
199,MJ Lumb,278
200,PBB Rajapaksa,277
201,PK Garg,273
202,MJ Guptill,271
203,R Sathish,270
204,JO Holder,259
205,M Kaif,259
206,HV Patel,249
207,Atharva Taide,247
208,K Gowtham,247
209,SM Katich,241
210,BCJ Cutting,238
211,MD Mishra,237
212,Harpreet Brar,233
213,A Manohar,231
214,D Brevis,230
215,WG Jacks,230
216,R Ravindra,222
217,Mohammad Nabi,221
218,K Goel,218
219,AA Jhunjhunwala,217
220,R Dhawan,210
221,UT Yadav,208
222,K Rabada,206
223,CA Ingram,205
224,PD Collingwood,203
225,JC Archer,199
226,KS Bharat,199
227,SK Warne,198
228,JD Unadkat,197
229,SP Fleming,196
230,AS Raut,194
231,BJ Rohrer,193
232,Salman Butt,193
233,YV Takawale,192
234,HC Brook,190
235,Ashutosh Sharma,189
236,Bipul Sharma,187
237,Kuldeep Yadav,183
238,SD Hope,183
239,MS Wade,183
240,FY Fazal,183
241,Sikandar Raza,182
242,CR Brathwaite,181
243,AC Voges,181
244,S Gopal,180
245,AB Agarkar,179
246,MF Maharoof,177
247,C Munro,177
248,DH Yagnik,170
249,Ramandeep Singh,170
250,CM Gautam,169
251,MG Johnson,167
252,DW Steyn,167
253,MN van Wyk,167
254,PA Reddy,164
255,A Raghuvanshi,163
256,N Jagadeesan,162
257,MN Samuels,161
258,RE van der Merwe,159
259,R McLaren,159
260,AD Hales,148
261,D Wiese,148
262,SM Pollock,147
263,S Vidyut,145
264,Sachin Baby,144
265,N Saini,140
266,Naman Dhir,140
267,Anmolpreet Singh,139
268,S Anirudha,136
269,SB Styris,131
270,W Jaffer,130
271,RD Chahar,129
272,Kamran Akmal,128
273,UT Khawaja,127
274,P Dogra,127
275,TK Curran,127
276,SS Prabhudessai,126
277,M Morkel,126
278,MC Juneja,125
279,BB Samantray,125
280,MM Sharma,124
281,B Lee,124
282,Harpreet Singh,123
283,AB McDonald,123
284,DL Vettori,121
285,NK Patel,121
286,TG Southee,120
287,AC Blizzard,120
288,Z Khan,117
289,Misbah-ul-Haq,117
290,RJ Harris,117
291,MW Short,117
292,KK Cooper,116
293,DJM Short,115
294,R Shepherd,115
295,Aman Hakim Khan,115
296,M Kartik,113
297,DJ Harris,111
298,Mohammed Siraj,109
299,LJ Wright,106
300,JDP Oram,106
301,SE Rutherford,106
302,MA Starc,105
303,DS Kulkarni,104
304,RJ Quiney,103
305,MS Gony,99
306,SD Chitnis,99
307,MJ Clarke,98
308,CJ Ferguson,98
309,PN Mankad,97
310,Arshad Khan,96
311,JDS Neesham,92
312,PR Shah,92
313,DJ Jacobs,92
314,RT Ponting,91
315,S Rana,91
316,AJ Tye,91
317,AD Nath,90
318,SL Malinga,88
319,Iqbal Abdulla,88
320,AP Majumdar,87
321,Ankit Sharma,87
322,MJ McClenaghan,85
323,TA Boult,83
324,RE Levi,83
325,NM Coulter-Nile,82
326,LA Carseldine,81
327,Shahid Afridi,81
328,WPUJC Vaas,81
329,CJ Jordan,81
330,DL Chahar,80
331,RV Patel,80
332,AD Mascarenhas,79
333,JR Philippe,78
334,CR Woakes,78
335,B Akhil,76
336,IR Jaggi,76
337,TR Birt,75
338,Mohammed Shami,74
339,RR Sarwan,73
340,M Klinger,73
341,PWH de Silva,72
342,MJ Santner,70
343,J Suchith,70
344,AA Bilakhia,69
345,Vivrant Sharma,69
346,LH Ferguson,68
347,JJ Bumrah,68
348,RR Powar,67
349,HR Shokeen,66
350,R Sharma,66
351,M Jansen,66
352,WD Parnell,65
353,KA Jamieson,65
354,GD Phillips,65
355,Mohammad Hafeez,64
356,Anirudh Singh,63
357,A Flintoff,62
358,SP Jackson,61
359,S Aravind,59
360,MG Bracewell,58
361,I Sharma,57
362,Vishnu Vinod,56
363,WA Mota,56
364,M Rawat,55
365,Sandeep Sharma,54
366,DJ Willey,53
367,A Chopra,53
368,Shoaib Malik,52
369,RP Singh,52
370,OF Smith,51
371,R Rampaul,51
372,Sameer Rizvi,51
373,KB Arun Karthik,51
374,Swapnil Singh,51
375,Shivam Mavi,51
376,VR Aaron,50
377,RV Gomez,50
378,SB Bangar,49
379,AG Paunikar,49
380,AS Yadav,49
381,A Nortje,49
382,T Kohler-Cadmore,48
383,M Markande,48
384,Yashpal Singh,47
385,D Pretorius,44
386,DR Sams,44
387,Sunny Singh,43
388,PVD Chameera,43
389,AB Barath,42
390,Azmatullah Omarzai,42
391,SK Trivedi,42
392,A Nehra,41
393,Avesh Khan,41
394,BR Dunk,40
395,J Yadav,40
396,Rasikh Salam,40
397,LPC Silva,40
398,DJ Thornely,39
399,Umar Gul,39
400,AUK Pathan,39
401,MM Patel,39
402,S Nadeem,39
403,YS Chahal,37
404,S Narwal,37
405,Sohail Tanvir,36
406,Joginder Sharma,36
407,L Balaji,36
408,KW Richardson,36
409,AN Ahmed,36
410,Anureet Singh,36
411,M Ashwin,35
412,B Sumanth,35
413,A Kumble,35
414,L Ronchi,34
415,S Sreesanth,34
416,AP Dole,34
417,A Mithun,34
418,Imran Tahir,33
419,Navdeep Saini,33
420,D Salunkhe,33
421,SB Dubey,33
422,Basil Thampi,32
423,AT Carey,32
424,RJ Peterson,32
425,Ravi Bishnoi,32
426,NS Naik,31
427,S Sriram,31
428,T Taibu,31
429,J Syed Mohammad,29
430,Arshdeep Singh,29
431,VH Zol,29
432,SB Jakati,28
433,AS Joseph,27
434,PJ Sangwan,26
435,AB Dinda,26
436,NL McCullum,26
437,TL Seifert,26
